id	ctrl-1_fpkm	ctrl-2_fpkm	ctrl-3_fpkm	primed-1_fpkm	primed-2_fpkm	primed-3_fpkm	Symbol
ENSG00000005189	3.16	4.29	4.16	3.08	3.06	2.24	REXO5
ENSG00000005194	18.3	21.47	21.97	18.41	15.67	18.25	CIAPIN1
ENSG00000005206	9.28	8.03	9.28	6.11	6.09	5.34	SPPL2B
ENSG00000005238	17.54	16.98	16.51	19.04	19.01	17.49	FAM214B
ENSG00000005243	20.27	23.19	23.8	19.32	14.46	21.19	COPZ2
ENSG00000005249	9.37	7.86	8.51	7.31	7.19	6.28	PRKAR2B
ENSG00000005302	13.39	15.82	14.92	26.21	27.26	28.13	MSL3
ENSG00000005339	13.8	16.34	15.59	9.24	10.34	11.98	CREBBP
ENSG00000005379	0.33	0.24	0.5	0	0.13	0.03	TSPOAP1
ENSG00000005381	0	0	0	0	0	0.02	MPO
ENSG00000005421	0	0	0	0	0.05	0	PON1
ENSG00000005436	7.92	7.14	7.48	7.52	6.31	5.42	GCFC2
ENSG00000005448	16.78	14	14.73	14.49	12.45	13.52	WDR54
ENSG00000005469	9.64	9.06	8.29	6.69	6.45	6.94	CROT
ENSG00000005471	0.07	0	0	0.03	0	0.04	ABCB4
ENSG00000005483	15.23	17.11	16.35	12.25	11.32	10.15	KMT2E
ENSG00000005486	20.58	24.66	23.03	16.79	15.92	16.12	RHBDD2
ENSG00000005513	0.14	0.07	0.02	0.06	0.04	0.05	SOX8
ENSG00000005700	29.26	26.13	26.77	27.68	28.64	28.05	IBTK
ENSG00000005801	7.32	7.16	8.23	6.62	6.34	7.59	ZNF195
ENSG00000005810	11.98	12.97	12.64	9.74	9.32	10.25	MYCBP2
ENSG00000005812	19.74	16.87	16.02	18.53	19.55	19.29	FBXL3
ENSG00000005844	0	0	0	0	0.08	0	ITGAL
ENSG00000005882	6.54	6.92	6.23	2.76	3.49	4	PDK2
ENSG00000005884	66.86	74.89	72.45	32.88	31.96	31.79	ITGA3
ENSG00000005889	8.54	9.29	8.91	12.79	10.71	10.87	ZFX
ENSG00000005893	81.43	86.46	81.34	62.27	63.77	63.66	LAMP2
ENSG00000005961	0	0.02	0.02	0	0.02	0	ITGA2B
ENSG00000005981	0	0	0	0	0	0	ASB4
ENSG00000006007	29.17	30.14	30.35	25.14	23.58	23.96	GDE1
ENSG00000006015	10.94	12.48	13.67	13.07	15.05	16.37	REX1BD
ENSG00000006016	1.18	0.96	1	0.75	0.36	0.72	CRLF1
ENSG00000006025	1.52	1.43	1.48	0.54	0.6	0.78	OSBPL7
ENSG00000006042	33.43	37.86	34.07	27.83	23.4	27.21	TMEM98
ENSG00000006047	0.12	0	0	0	0	0	YBX2
ENSG00000006059	0	0	0	0	0	0	KRT33A
ENSG00000006062	1.39	1.58	1.33	0.63	0.54	0.67	MAP3K14
ENSG00000006071	0	0	0	0	0	0	ABCC8
ENSG00000006116	0	0	0	0	0	0	CACNG3
ENSG00000006118	19.82	22.86	22.28	82.4	84.16	80.21	TMEM132A
ENSG00000006125	77.43	80.24	75.9	54.61	48.96	48.96	AP2B1
ENSG00000006128	0	0	0	0	0	0	TAC1
ENSG00000006194	8.71	9.31	10.7	7.19	8.72	6.37	ZNF263
ENSG00000006210	0.02	0	0	0.85	0.81	0.69	CX3CL1
ENSG00000006282	15.88	19.3	16.02	11.79	12.27	11.32	SPATA20
ENSG00000006283	0.02	0	0.03	0.05	0	0.03	CACNA1G
ENSG00000006327	110.74	119.26	118.86	147.69	157.37	152.26	TNFRSF12A
ENSG00000006377	0	0	0	0	0	0	DLX6
ENSG00000006432	0.19	0.19	0.23	0.05	0.13	0.15	MAP3K9
ENSG00000006451	29.31	27.57	26.67	48.94	45.78	50.94	RALA
ENSG00000006453	3.78	3.29	3.6	0.76	0.92	0.94	BAIAP2L1
ENSG00000006459	1.35	0.77	0.95	1.27	1.4	1.19	KDM7A
ENSG00000006468	17.36	14.42	17.08	9.41	8.04	9.45	ETV1
ENSG00000006530	15.63	19.65	16.68	15.03	13.46	12.9	AGK
ENSG00000006534	9.4	10.21	9.42	3.69	5.33	4.53	ALDH3B1
ENSG00000006555	0	0	0	0	0	0	TTC22
ENSG00000006576	20.54	19.14	19.59	15.22	17.4	14.43	PHTF2
ENSG00000006606	3.13	3.81	3.37	0.85	0.24	1.28	CCL26
ENSG00000006607	10.41	11.67	11.16	9.23	8.3	10.96	FARP2
ENSG00000006611	0	0.02	0	0	0	0	USH1C
ENSG00000006625	22.32	22.01	21.62	22.12	21.01	19.6	GGCT
ENSG00000006634	19.02	16.69	17.71	18.23	20.36	19.02	DBF4
ENSG00000006638	1.49	1.86	1.17	0.69	1	1.07	TBXA2R
ENSG00000006652	19.84	21.88	22.15	29.51	28.26	28.61	IFRD1
ENSG00000006659	0	0	0	0	0	0	LGALS14
ENSG00000006695	8.18	5.35	7.82	6.45	8.02	7.34	COX10
ENSG00000006704	13.45	13.54	15.66	7.25	8.62	7.58	GTF2IRD1
ENSG00000006712	29.7	33.62	31.77	23.52	23.41	21.49	PAF1
ENSG00000006715	18.88	16.67	21.64	18.04	16.62	17.41	VPS41
ENSG00000006740	0.47	0.56	0.66	0.27	0.14	0.16	ARHGAP44
ENSG00000006744	41	36.64	42.74	34.76	32.46	33.65	ELAC2
ENSG00000006747	0.83	0.75	0.54	0.01	0.02	0.02	SCIN
ENSG00000006756	3.8	3.73	3.88	2.8	2.89	2.76	ARSD
ENSG00000006757	5.3	7.48	6.82	8.22	7.69	5.37	PNPLA4
ENSG00000006788	0.01	0.01	0.04	0.02	0.04	0.04	MYH13
ENSG00000006831	20.34	21.73	20.46	20.58	18.71	18.51	ADIPOR2
ENSG00000006837	1.21	1.61	0.89	1.72	1.13	0.91	CDKL3
ENSG00000007001	0	0	0	0	0	0	UPP2
ENSG00000007038	0	0.1	0.05	0.11	0	0	PRSS21
ENSG00000007047	12.51	17.53	15.77	10.23	13.34	10.89	MARK4
ENSG00000007062	0.12	0	0	0	0	0.02	PROM1
ENSG00000007080	37.33	40.98	37.99	30.45	28.92	30.68	CCDC124
ENSG00000007129	0	0	0	0	0	0	CEACAM21
ENSG00000007168	58.18	56.55	57.64	55.25	49.19	50.66	PAFAH1B1
ENSG00000007171	0	0	0	0.25	0.31	0.29	NOS2
ENSG00000007174	0	0	0	0	0	0	DNAH9
ENSG00000007202	37.92	39.36	40.08	29.1	32.54	29.07	KIAA0100
ENSG00000007216	0	0	0	0	0	0	SLC13A2
ENSG00000007237	0.25	0.77	0.54	0.32	0.35	0.22	GAS7
ENSG00000007255	0.71	0.75	0.66	1.43	0.4	0.84	TRAPPC6A
ENSG00000007264	0.03	0	0	0	0	0	MATK
ENSG00000007306	0	0	0	0	0	0	CEACAM7
ENSG00000007312	0	0	0	0	0	0	CD79B
ENSG00000007314	0	0	0	0	0	0	SCN4A
ENSG00000007341	3.95	5.27	3.96	4.77	3.84	5.28	ST7L
ENSG00000007350	0	0.02	0	0	0	0	TKTL1
ENSG00000007372	0	0.03	0	0	0	0	PAX6
ENSG00000007376	9.41	11.32	9.38	9.18	9.04	9.13	RPUSD1
ENSG00000007384	13.23	14.65	14.05	9.93	12.14	12.16	RHBDF1
ENSG00000007392	22.86	21.02	22.48	18.11	19.05	20.28	LUC7L
ENSG00000007402	0.09	0	0	0	0.01	0.02	CACNA2D2
ENSG00000007516	0.05	0.01	0.04	0	0.05	0	BAIAP3
ENSG00000007520	24.39	28.36	25.22	22	25.44	27.2	TSR3
ENSG00000007541	8.6	8.34	10.08	6.99	7.72	7.46	PIGQ
ENSG00000007545	5.46	5.5	4.45	3.8	4.23	3.88	CRAMP1
ENSG00000007866	11.48	12	12.49	9.69	10.71	9.5	TEAD3
ENSG00000007908	0	0	0	0.11	0	0.09	SELE
ENSG00000007923	22.57	22.77	23.34	18.87	18.83	19.54	DNAJC11
ENSG00000007933	0	0	0	0	0	0	FMO3
ENSG00000007944	3.84	2.79	3.28	0.88	0.86	0.72	MYLIP
ENSG00000007952	0	0	0	0	0	0.02	NOX1
ENSG00000007968	0.86	1.07	1.11	1.18	1.08	1.02	E2F2
ENSG00000008018	129.17	154.57	152.02	178.49	158.08	186.46	PSMB1
ENSG00000008056	1.2	0.66	1.01	0.24	0.44	0.2	SYN1
ENSG00000008083	2.82	2.7	2.94	1.21	1.36	1.35	JARID2
ENSG00000008086	1.7	1.56	1.85	1.64	1.61	1.68	CDKL5
ENSG00000008118	0.57	0.85	0.66	0.26	0.05	0.02	CAMK1G
ENSG00000008128	8.86	8.3	9.04	7.7	8.31	7.18	CDK11A
ENSG00000008130	17.2	19.91	18.11	16.8	13.84	15.51	NADK
ENSG00000008196	0	0	0	0	0	0	TFAP2B
ENSG00000008197	0	0	0	0	0	0	TFAP2D
ENSG00000008226	0.01	0.01	0.01	0	0	0.02	DLEC1
ENSG00000008256	6.1	5.19	5.76	2.4	2.48	2.36	CYTH3
ENSG00000008277	0.14	0.12	0.12	0.01	0.07	0.15	ADAM22
ENSG00000008282	58.09	51.73	52	64.8	64.38	66.52	SYPL1
ENSG00000008283	15.62	14.84	18.12	13.31	12.9	12.01	CYB561
ENSG00000008294	23.5	22.9	23.86	27.41	25.61	26.14	SPAG9
ENSG00000008300	0.17	0.11	0.16	0.08	0.12	0.12	CELSR3
ENSG00000008311	5.84	5.17	5.65	6.21	5.42	5.31	AASS
ENSG00000008323	0.13	0.04	0.11	0.04	0.08	0	PLEKHG6
ENSG00000008324	7.34	8.55	7.76	9.5	11.67	11.59	SS18L2
ENSG00000008382	3.65	2.54	4.24	1.99	2.12	1.57	MPND
ENSG00000008394	111.46	100.94	116.92	104.38	110.35	108.47	MGST1
ENSG00000008405	10.08	7.94	6.81	7.29	6.76	6.11	CRY1
ENSG00000008438	0	0	0	0	0	0	PGLYRP1
ENSG00000008441	40.29	42.37	40.57	17.83	19.29	18.05	NFIX
ENSG00000008513	12.8	13.51	12.63	30.48	28.04	26.08	ST3GAL1
ENSG00000008516	0.08	0.07	0.1	0.75	0.83	0.89	MMP25
ENSG00000008517	3.37	2.15	2.43	423.03	409.6	429.17	IL32
ENSG00000008710	25.23	29.29	30.87	23.57	20.95	20.36	PKD1
ENSG00000008735	0	0.07	0.06	0.03	0.08	0.03	MAPK8IP2
ENSG00000008838	24.71	24.84	22.13	12.97	13.62	13.59	MED24
ENSG00000008853	5.47	6.5	6.09	3.6	4.18	3.64	RHOBTB2
ENSG00000008869	5.98	5.32	5.97	5.02	4.43	4.04	HEATR5B
ENSG00000008952	45.92	44.37	44.7	56.22	49.52	56.01	SEC62
ENSG00000008988	574.5	683.67	657.17	699.04	568.67	769.17	RPS20
ENSG00000009307	229.33	232.85	228.47	211.07	200.68	204.83	CSDE1
ENSG00000009335	38.91	38.49	38.62	34.21	33.96	33.06	UBE3C
ENSG00000009413	6.84	5.65	5.93	3.23	3.74	3.35	REV3L
ENSG00000009694	0.01	0	0	0	0	0	TENM1
ENSG00000009709	0.01	0	0	0	0	0	PAX7
ENSG00000009724	0.42	0.3	0.44	0.29	0.14	0.09	MASP2
ENSG00000009765	0.01	0	0	0	0	0	IYD
ENSG00000009780	4.4	3.79	3.14	2.22	3.5	2.59	FAM76A
ENSG00000009790	0.08	0	0	0	0	0	TRAF3IP3
ENSG00000009830	10.74	8.64	9.72	5.29	7.82	4.83	POMT2
ENSG00000009844	45.28	42.98	46.29	49.09	50.2	47.3	VTA1
ENSG00000009950	0	0.02	0	0	0	0	MLXIPL
ENSG00000009954	36.48	36.24	35.96	26.4	25.83	26.43	BAZ1B
ENSG00000010017	27.04	27.06	26.25	23.05	21.46	21.79	RANBP9
ENSG00000010030	0	0.04	0.19	23.82	23.37	23.68	ETV7
ENSG00000010072	6.16	5.41	5.38	5.15	5.47	5.26	SPRTN
ENSG00000010165	9.97	11.72	12.04	9.14	8.92	9.96	EEF1AKNMT
ENSG00000010219	7.7	7.61	6.85	17.57	19.66	19.73	DYRK4
ENSG00000010244	107.62	106.66	114.9	114.93	121.2	109.84	ZNF207
ENSG00000010256	59.06	67.06	68.14	64.61	62.84	65.14	UQCRC1
ENSG00000010270	40.74	39.13	41.95	53.51	51.21	51.53	STARD3NL
ENSG00000010278	126.17	121.12	120.85	30.33	29.76	31.25	CD9
ENSG00000010282	0	0	0	0	0	0	HHATL
ENSG00000010292	56.37	58.58	61.56	36.13	38.88	31.15	NCAPD2
ENSG00000010295	7.14	8.27	7.84	5.5	4.21	3.85	IFFO1
ENSG00000010310	0.05	0.04	0.06	0	0.02	0	GIPR
ENSG00000010318	0.74	0.98	1.07	0.64	1.04	0.68	PHF7
ENSG00000010319	0	0	0.09	0.01	0	0.02	SEMA3G
ENSG00000010322	13.81	16.23	16.54	8.6	7.89	7.48	NISCH
ENSG00000010327	1.02	1.16	1.33	0.38	0.49	0.36	STAB1
ENSG00000010361	6.26	6.25	7.57	3.75	5.02	3.64	FUZ
ENSG00000010379	0.03	0	0	0.03	0	0	SLC6A13
ENSG00000010404	45.49	49.55	44.95	27.12	29.87	24.7	IDS
ENSG00000010438	21.14	24.39	21.94	6.49	5.09	6.79	PRSS3
ENSG00000010539	3.4	4.29	3.4	3.26	3.69	3.98	ZNF200
ENSG00000010610	0.5	0.35	0.6	0.29	0.38	0.36	CD4
ENSG00000010626	3.98	4.25	3.78	2.91	2.47	2.95	LRRC23
ENSG00000010671	0.05	0.02	0	0	0	0	BTK
ENSG00000010704	11.55	11.26	12.15	6.19	6.64	7.93	HFE
ENSG00000010803	9.17	9.5	10.01	7.17	8.55	7.97	SCMH1
ENSG00000010810	10.29	12.22	9.02	12.43	11.88	13.23	FYN
ENSG00000010818	8.11	8.14	7.59	10.96	11.5	10.95	HIVEP2
ENSG00000010932	0	0	0	0	0	0	FMO1
ENSG00000011007	26.64	27.27	26.97	34.77	32.49	32.41	ELOA
ENSG00000011009	22.21	25.8	23.91	20.86	20.26	20.76	LYPLA2
ENSG00000011021	2.47	2.49	2.92	2.52	2.52	2.23	CLCN6
ENSG00000011028	71.32	75.34	75.89	71.9	71.79	66.84	MRC2
ENSG00000011052	2.46	4.26	3.23	3.52	4.37	3.5	NME1-NME2
ENSG00000011083	0	0.01	0	0	0	0.05	SLC6A7
ENSG00000011105	19.42	20.4	20.76	10.55	12.25	11.01	TSPAN9
ENSG00000011114	9.32	9.12	9.63	5.99	6.59	6.55	BTBD7
ENSG00000011132	3.14	3.33	2.02	3.94	4.18	4.16	APBA3
ENSG00000011143	5	5.75	5.43	3.21	3.76	3.33	MKS1
ENSG00000011198	11.62	11.49	12.14	15.71	12.46	14.05	ABHD5
ENSG00000011201	1.76	1.16	1.24	0.45	0.51	0.47	ANOS1
ENSG00000011243	12.35	13.31	11.5	11.02	11.37	9.99	AKAP8L
ENSG00000011258	2.82	2.18	3.22	1.62	1.79	1.45	MBTD1
ENSG00000011260	25.17	24.96	26.48	27.68	22.96	26.17	UTP18
ENSG00000011275	11.19	11.33	11.41	10.86	11.24	11.02	RNF216
ENSG00000011295	10.69	10.03	9.67	7.58	7.06	6.98	TTC19
ENSG00000011304	130.79	128.8	136.3	128.18	147.59	128.42	PTBP1
ENSG00000011332	3.61	4.68	4.45	2.31	2.64	2.29	DPF1
ENSG00000011347	0.46	0.7	0.43	0.46	0.53	0.76	SYT7
ENSG00000011376	8.87	9.2	9.91	11.99	11.61	10.74	LARS2
ENSG00000011405	16.29	14.74	14.55	14.43	14.41	13.83	PIK3C2A
ENSG00000011422	119.61	125.76	127.61	163.53	170.86	163.29	PLAUR
ENSG00000011426	102.54	89.68	100.42	97.06	103.75	94.94	ANLN
ENSG00000011451	15.49	15.77	16.99	11.85	13.48	11.11	WIZ
ENSG00000011454	10.31	10.8	9.47	8.24	7.27	8.13	RABGAP1
ENSG00000011465	211.65	225.25	231.36	739.61	736.37	760.55	DCN
ENSG00000011478	5.24	5.63	6.25	4.97	4.64	5.38	QPCTL
ENSG00000011485	40.49	43.16	45.03	38.19	38.95	36.14	PPP5C
ENSG00000011523	3.42	2.8	3.07	1.42	1.24	1.52	CEP68
ENSG00000011566	16.23	14.85	15	21.95	21.25	21.62	MAP4K3
ENSG00000011590	0.07	0	0	0	0	0.03	ZBTB32
ENSG00000011600	0	0	0	0	0	0	TYROBP
ENSG00000011638	7.99	8.92	5.89	7.36	5.37	6.46	TMEM159
ENSG00000011677	0	0.06	0.03	0.02	0.03	0	GABRA3
ENSG00000012048	14.67	16.43	16.22	13.57	14.7	16.12	BRCA1
ENSG00000012061	41.99	45.18	46.7	41.65	45.59	40.86	ERCC1
ENSG00000012124	0	0	0.02	0	0	0	CD22
ENSG00000012171	1.34	1.71	1.75	0.58	0.51	0.78	SEMA3B
ENSG00000012174	18.08	16.34	16.05	16.24	16.27	15.45	MBTPS2
ENSG00000012211	3.03	3.75	3.47	2.86	2.8	3.03	PRICKLE3
ENSG00000012223	0	0	0	0	0.03	0	LTF
ENSG00000012232	16.54	20.88	17.57	12.96	15.18	15.7	EXTL3
ENSG00000012504	0	0	0	0	0	0	NR1H4
ENSG00000012660	67.75	61.87	64.68	61.8	60.59	63.44	ELOVL5
ENSG00000012779	0	0	0	0	0	0	ALOX5
ENSG00000012817	0.04	0	0	0	0	0	KDM5D
ENSG00000012822	11.19	11.17	14.72	12.82	11.83	13.81	CALCOCO1
ENSG00000012963	22.04	20.8	22.31	19.92	20.16	19.65	UBR7
ENSG00000012983	30.3	25.31	28.28	22.41	24.45	20.84	MAP4K5
ENSG00000013016	6.84	7.53	7.03	3.57	3.37	4.06	EHD3
ENSG00000013275	46.69	53.9	53.75	61.17	58.78	60.02	PSMC4
ENSG00000013288	13.44	14.94	14.56	10.99	12.17	11.57	MAN2B2
ENSG00000013293	0.08	0.07	0.09	0.04	0.06	0.07	SLC7A14
ENSG00000013297	53.09	55.96	56.39	43.15	46.91	46.39	CLDN11
ENSG00000013306	39.46	44.86	41.57	30.82	31.16	29.37	SLC25A39
ENSG00000013364	93.62	107.26	100.05	107.27	94.42	102.14	MVP
ENSG00000013374	42.92	35.78	36.59	113.43	115.66	109.84	NUB1
ENSG00000013375	51.35	49.13	50.23	70	65.72	74.41	PGM3
ENSG00000013392	2.44	1.84	1.74	1.98	1.56	1.83	RWDD2A
ENSG00000013441	17.51	16.52	19.39	17.69	16.25	20.39	CLK1
ENSG00000013503	8.79	9.11	8.55	8.54	9.23	8.67	POLR3B
ENSG00000013523	4.35	3.69	4	1.93	2.07	2.79	ANGEL1
ENSG00000013561	39.08	40.98	38.92	32.23	30.81	33.41	RNF14
ENSG00000013563	16.83	18.66	17.97	9.25	9.98	8.86	DNASE1L1
ENSG00000013573	8.05	9.84	9.44	7.01	8.17	7.75	DDX11
ENSG00000013583	20.4	20.65	21.9	21.35	17.79	19.73	HEBP1
ENSG00000013588	58.95	62.65	61.63	4	4.39	4.32	GPRC5A
ENSG00000013619	2.25	2.73	2.2	3.11	3.3	2.8	MAMLD1
ENSG00000013725	0	0	0	0	0	0	CD6
ENSG00000013810	43.98	43.26	52.59	38.82	36.06	40.14	TACC3
ENSG00000014123	16.43	14.21	14.33	14.02	14.84	13.98	UFL1
ENSG00000014138	16.26	18.8	14.86	12.36	15.9	21.09	POLA2
ENSG00000014164	5	5.23	5.17	6.68	6.78	5.96	ZC3H3
ENSG00000014216	71.98	81.95	70.7	46.73	49.77	45.3	CAPN1
ENSG00000014257	0.05	0.21	0.16	0.19	0.1	0.09	ACP3
ENSG00000014641	108.8	118.94	118.45	97.7	98.22	109.48	MDH1
ENSG00000014824	32.06	31.95	33.11	29.68	31.08	29.23	SLC30A9
ENSG00000014914	3.19	3.13	3.31	2.24	2.52	2.16	MTMR11
ENSG00000014919	11.55	11.9	11.17	8.95	8.02	8.16	COX15
ENSG00000015133	0.14	0.07	0.05	0.12	0.03	0.01	CCDC88C
ENSG00000015153	7.95	7.82	5.92	9.87	8.42	9.76	YAF2
ENSG00000015171	27.92	24.91	25.81	18.4	18.77	18.02	ZMYND11
ENSG00000015285	0.07	0.09	0.09	0	0.13	0.06	WAS
ENSG00000015413	0	0	0	0	0	0	DPEP1
ENSG00000015475	15.32	22.37	18.92	33.35	33.62	35.91	BID
ENSG00000015479	146.87	137.07	143.53	159.98	159.44	160.08	MATR3
ENSG00000015520	0	0.01	0	0	0	0	NPC1L1
ENSG00000015532	17.84	17.75	17.42	12.05	11.74	11.54	XYLT2
ENSG00000015568	7.13	6.32	6.05	4.52	9.95	9.04	RGPD5
ENSG00000015592	0	0	0	0.06	0	0	STMN4
ENSG00000015676	9.56	9.72	9.92	6.7	6.93	6.78	NUDCD3
ENSG00000016082	0.05	0.18	0.05	0.05	0.05	0.09	ISL1
ENSG00000016391	0.01	0.01	0	0	0	0	CHDH
ENSG00000016402	0.05	0.15	0	0.02	0	0	IL20RA
ENSG00000016490	0	0	0	0	0	0	CLCA1
ENSG00000016602	0	0	0.02	0	0	0	CLCA4
ENSG00000016864	53.67	55.23	50.36	35.46	32.38	33.76	GLT8D1
ENSG00000017260	79.09	75.44	73.11	107.59	99.82	111.3	ATP2C1
ENSG00000017427	0.1	0	0	0	0	0.01	IGF1
ENSG00000017483	44.99	43.9	49.64	27.67	32.34	27	SLC38A5
ENSG00000017797	26.57	25.17	26.19	30.46	29.03	29.1	RALBP1
ENSG00000018189	8.37	9.02	9	5.15	4.94	4.62	RUFY3
ENSG00000018236	0.8	1.12	0.82	1.24	1.02	0.96	CNTN1
ENSG00000018280	0.02	0.06	0.06	0.02	0.03	0	SLC11A1
